"name","city","country","state","industry_id","website","description","logo_url","ticker"
"LG CHEM LTD","Seoul, Korea","KR","","Chemicals","www.lgchem.co.kr","LG Chem Ltd. is a chemical manufacturer.  The Company's products include petrochemicals, plastic resins, and engineering plastics.  LG Chem also produces industrial and electronic materials.","533.jpg","051910"
"M&T BANK CORP","Buffalo","US","NY","Commercial Banks","www.mandtbank.com","M&T Bank Corporation is a bank holding company. The Company, through its banking subsidiaries, offer a variety of commercial banking, trust, and investment services to their customers.  M&T Bank operates branch offices in New York, Maryland, Pennsylvania, Delaware, New Jersey, Virginia, West Virginia and the District of Columbia.","660.jpg","MTB"
"DAVITA HEALTHCAR","Denver","US","CO","Health Care Providers & Services","www.davita.com","DaVita HealthCare Partners Inc. provides a variety of health care services throughout the United States and abroad.  The Company administers kidney care and dialysis services.  In addition, DaVita HealthCare also manages and operates medical groups, a network of primary care physicians, urgent care centers and ambulatory surgery centers.","791.jpg","DVA"
"CITIC PACIFIC","Central","HK","","Industrial Conglomerates","www.citicpacific.com","Citic Pacific Limited manufactures special steel used in bearings, gears, springs, and high-pressurized piping steel. The Company also has operation in iron ore mining which supplies the raw material in making of special steel and property development in mainland China.","1775.png","267"
"FLIR SYSTEMS","Wilsonville","US","OR","Electronic Equipment, Instruments & Components","www.flir.com","FLIR Systems, Inc. designs, manufactures, and markets thermal imaging and broadcast camera systems for a variety of applications in the commercial and government markets.  The Company makes products for condition monitoring, research and development, airborne observation and broadcast, search and rescue, and surveillance and reconnaissance.","2093.png","FLIR"
"PCCW LTD","Quarry Bay","HK","","Diversified Telecommunication Services","www.pccw.com","PCCW Limited, through its subsidiaries, provides telecommunications, Internet access, multimedia services and related equipment.  The Company also offers computer, engineering, and other technical services in Hong Kong.  In addition, PCCW invests in and develops system integration and technology-related business, infrastructure and properties in Hong Kong and China.","2397.png","8"
"GLOBAL PAYMENTS","Atlanta","US","GA","IT Services","www.globalpaymentsinc.com","Global Payments Inc. provides electronic transaction processing, information systems, and services.  The Company serves the financial, corporate, government, and merchant communities on a worldwide basis.  Global Payments provides funds transfer, merchant services, merchant accounting, Internet services, and other services.","2002.png","GPN"
"KOHLS CORP","Menomonee Falls","US","WI","Multiline Retail","www.kohls.com","Kohl's Corporation operates a chain of family-oriented department stores.  The Company's stores feature apparel, footwear and accessories for women, men and children, soft home products such as sheets and pillows, and housewares targeted to middle income customers.  Kohl's also offers online shopping as well as offers store credit cards.","807.png","KSS"
"ABERDEEN ASIA-PA","","CK","#N/A Field Not Applicable","","www.aberdeen-asia.com","Aberdeen Asia-Pacific Income Investment Company Limited is a closed-end investment company established in the Cook Islands. The investment objective of the Company is to obtain current income and achieve incidental capital appreciation from investment in long-term debt securities. The Company may invest up to 80% of total assets in securities issued by Asian entities.","14039.png","FAP"
"KINGDOM HOLDING","Riyadh","SA","","Diversified Financial Services","www.kingdom.com.sa","Kingdom Holding Company is a diversified investment company based in Saudi Arabia. The Company's interests include banking, real estate, telecommunications, broadcasting and media, entertainment, hospitality, computers and electronics, agriculture, restaurants, upscale fashion, retailing, supermarkets, tourism, travel, and automotive manufacturing.","438.png","KINGDOM"
"SKECHERS USA-A","Manhattan Beach","US","CA","Textiles, Apparel & Luxury Goods","www.skechers.com","Skechers U.S.A., Inc. designs and markets branded contemporary casual, active, rugged, and lifestyle footwear for men, women, and children.  The Company sells its products to department stores and specialty retailers.  Skechers also sells its products internationally through distributors and directly to consumers through its own retail stores.","4668.gif","SKX"
"MTR CORP","Kowloon","HK","","Road & Rail","www.mtr.com.hk","MTR Corporation Limited provides public transport services in Hong Kong.  The Company owns and operates the Mass Transit Railway.  The Company also develops, sells, and manages residential and commercial properties.  In addition, MTR leases commercial facilities and provides services along the Railway, such as advertising, telecommunication facilities, and provides consultancy services.","439.png","66"
"KION GROUP AG","Wiesbaden","DE","","Machinery","www.kiongroup.com","KION Group AG provides material handling solutions. The Company offers forklifts, warehouse equipments, and other industrial trucks. KION Group operates its branch locations worldwide.","2133.jpg","KGX"
"DCT INDUSTRIAL T","Denver","US","CO","Real Estate Investment Trusts (REITs)","www.dctindustrial.com","DCT Industrial Trust Inc. is a real estate investment trust. The Company owns, acquires, develops and manages bulk distribution and light industrial properties located in the United States.","2729.png","DCT"
"MCEWEN MINING IN","Toronto","CA","ON","Metals & Mining","www.mcewenmining.com","McEwen Mining Inc. is a high growth, low cost mid-tier gold producer in the Americas.","9782.jpeg","MUX"
"TORSTAR CORP -B","Toronto","CA","ON","Media","www.torstar.com","Torstar Corporation is a publishing company. The Company's operations include the Star Media group, including The Toronto Star, digital properties including Toronto.com,  and Metroland Media Group, publishers of community and daily newspapers in Ontario, Canada.Torstar's other operations include Harlequin Enterprises, publisher of women's fiction.","9348.png","TS/B"
"CHINA COMM SER-H","Beijing","CN","","Diversified Telecommunication Services","www.chinaccs.com.hk","China Communications Services Corporation Limited provides specialized telecommunications support services to telecommunications operators.  The Company offers telecommunications infrastructure services, including design, construction and project supervision and management, business process outsourcing services , and applications, content and other services.","2021.png","552"
"KLA-TENCOR CORP","Milpitas","US","CA","Semiconductors & Semiconductor Equipment","www.kla-tencor.com","KLA-Tencor Corporation manufactures yield management and process monitoring systems for the semiconductor industry.  The Company's systems are used to analyze product and process quality at critical steps in the manufacture of circuits and provide feedback so that fabrication problems can be identified. KLA-Tencor operates sales, service, and application centers worldwide.","905.jpg","KLAC"
"HUDSON CITY BNCP","Paramus","US","NJ","Thrifts & Mortgage Finance","www.hudsoncitysavingsbank.com","Hudson City Bancorp, Inc. is a bank holding company.  The Company, through its banking subsidiary, is a federally chartered stock savings bank that offers traditional deposit products, residential real estate mortgage loans and consumer loans. Hudson also purchase mortgages and mortgage-backed securities and other securities issued by U.S. government-sponsored enterprises.","1950.png","HCBK"
"BARLOWORLD LTD","Sandton","ZA","","Trading Companies & Distributors","www.barloworld.com","Barloworld Limited is a distributor of brands that provides integrated rental, fleet management, product support and logistics solutions. The Company offers earthmoving and power systems, car rental, motor retail, fleet services, used vehicles and disposal solutions, logistics management and supply chain optimisation and material handling.","2888.png","BAW"
"REALPAGE INC","Carrollton","US","TX","Software","www.realpage.com","RealPage, Inc. provides products and services to the multifamily real estate industry. The Company's services include applicant screening, accounting, budgeting, property management, and compliance reporting. RealPage also develops and delivers proprietary Web-based applications that enhance client information management capabilities.","4693.png","RP"
"BRD-GROUPE SOCIE","Bucharest","RO","","Commercial Banks","www.brd.ro","BRD-Groupe Societe Generale attracts deposits and offers commercial and retail banking services.","4563.png","BRD"
"CHANG HWA BANK","Taichung","TW","","Commercial Banks","www.chb.com.tw","Chang Hwa Commercial Bank provides a broad range of financial services.  The Bank's operations include deposits, short-term and mid-term loans, discount bills, securities brokerage, foreign currency transactions, and trust banking.","1974.jpg","2801"
"ESB FINANCIAL","Ellwood City","US","PA","Thrifts & Mortgage Finance","www.esbbank.com","ESB Financial Corporation is the holding company of ESB Bank, F.S.B. and PennFirst Financial Services, Inc.  The Bank offers a variety of financial products and services through offices in Allegheny, Beaver, Butler, and Lawrence counties, Pennsylvania.","14644.png","ESBF"
"CANFOR PULP PROD","Vancouver","CA","BC","Paper & Forest Products","www.canforpulp.com","Canfor Pulp Products, Inc. produces market pulp and fully bleached kraft paper. The Company operates pulp and paper mills in Prince George, British Columbia.","6020.png","CFX"
"GENERAL GROWTH P","Chicago","US","IL","Real Estate Investment Trusts (REITs)","www.ggp.com","General Growth Properties, Inc. is a real estate investment trust (REIT). The Company owns, operates, leases, acquires and expands enclosed regional shopping mall centers throughout the United States. The REIT, with its operating partnership also has unconsolidated equity interests in other regional mall companies.","511.gif","GGP"
"YUEXIU PROPERTY","Wan Chai","HK","","Real Estate Management & Development","www.yuexiuproperty.com","Yuexiu Property Company Ltd., through its subsidiaries, develops, manages and invests in properties. The Company also invests in a Real Estate Investment Trusts.","2716.png","123"
"CHINALCO MINING","Beijing","CN","","Metals & Mining","www.chinalco-cmc.com","Chinalco Mining Corporation International is a resource development company. The Company acquires, explores and develops properties for non-ferrous and non-aluminum mineral resources.","4723.png","3668"
"TOSHIBA TEC CORP","Shinagawa-Ku","JP","TK","Office Electronics","www.toshibatec.co.jp","TOSHIBA TEC CORPORATION manufactures electronic equipment for distribution system, document processing, and household use.  The Company's products include Point of Sale (POS) systems, bar code scanners, copy machines, printers, and vacuum cleaners.","4599.png","6588"
"GAMESA","Zamudio","ES","","Electrical Equipment","www.gamesacorp.com","Gamesa Corporacion Tecnologica, S.A. (Gamesa) manufactures wind turbines.  The Company also develops and markets wind farms.","2740.png","GAM"
"ROPER INDS","Sarasota","US","FL","Electrical Equipment","www.roperind.com","Roper Industries, Inc. manufactures industrial controls, fluid handling, and analytical instrumentation products worldwide.   Roper serves selected segments of a broad range of markets such as oil & gas, scientific research, medical diagnostics, semiconductor, refrigeration, automotive, water and wastewater, power generation, agricultural irrigation, and other niche industries.","758.png","ROP"
"Y G-1 CO LTD","Incheon","KR","#N/A Field Not Applicable","Machinery","www.yg1.co.kr","Y G-1 Co., Ltd. designs, manufactures, and markets cutting tools and related products.  The Company's products include end mills, taps, and drills used in the machine, automobile, shipping, and electronic industries.  Y G-1 supplies its products to domestic and overseas markets including the United States and Europe.","14500.png","019210"
"KAMAN CORP","Bloomfield","US","CT","Trading Companies & Distributors","www.kaman.com","Kaman Corporation and its subsidiaries serve government and commercial markets through its diversified technologies and distribution segments.  The Company provides aircraft manufacturing, design and manufacture of advanced technology products and systems, and advanced technology services.  Kaman also distributes industrial products.","5714.png","KAMN"
"NUTRISYSTEM INC","Fort Washington","US","PA","Internet & Catalog Retail","www.nutrisystem.com","Nutrisystem, Inc. operates an online weight loss community.  The Company's Web site provides members with a weight management program that incorporates personal online counseling, individual diet and exercise plans, as well as other information.  Nutrisystem also markets the Nutrisystem Sweet Success brand of diet meal replacement products through retail outlets.","9787.jpg","NTRI"
"ORACLE FINANCIAL","Goregaon East, Mumbai","IN","","Software","www.iflexsolutions.com","Oracle Financial Services Software Ltd. provides comprehensive information technology solutions to the financial services industry worldwide. The Company provides transaction processing and accounting software for banks, investment managers and mutual funds. Oracle Financial also provides internet delivery of financial services as well as business intelligence and analytical applications.","2097.png","OFSS"
"BBA AVIATION PLC","London","GB","","Transportation Infrastructure","www.bbaaviation.com","BBA Aviation PLC provides flight support and aftermarket services and systems. The Company's flight support services include refueling, cargo handling, ground handling and other services.  BBA's aftermarket services and systems activities include overhaul of jet engines, supply of aircraft parts, design, manufacture and overhaul of landing gear, aircraft hydraulics and other aircraft equipment.","2675.png","BBA"
"DARTY PLC","London","GB","","Specialty Retail","kesaelectricals.com","Darty Plc retails consumer electronics and furniture.  The Company markets refrigerators, washing machines, microwave ovens, coffee makers, irons, televisions, DVD players, home cinema, plasma and LCD flat screen televisions, mobile telephones, and personal computers.  Darty operates in the United Kingdom, France, Belgium, the Czech Republic, Slovakia, and the Netherlands.","5996.png","DRTY"
"FIRST HOTEL","Taipei","TW","#N/A Field Not Applicable","Hotels, Restaurants & Leisure","www.firsthoteltaipei.com","First Hotel operates a hotel in Taipei.  The Hotel leases commercial buildings as well as provides lodging and meal services.","14636.jpg","2706"
"KATHMANDU HOLDIN","Christchurch","NZ","#N/A Field Not Applicable","Specialty Retail","www.kathmanduholdings.com","Kathmandu Holdings Ltd. provides clothing and equipment for the travel and adventure market. The Company operates retail locations throughout Australia and New Zealand.","9817.png","KMD"
"LYXOR ETF DAX","","LU","","","www.lyxoretf.com","The Lyxor ETF DAX is an open-end UCITS IV compliant Exchange-traded fund established in Luxembourg. The fund's investment objective is to track the performance of the DAX index.","5932.png","LYXDAX"
"JONES LANG LASAL","Chicago","US","IL","Real Estate Management & Development","www.joneslanglasalle.com","Jones Lang LaSalle Incorporated provides real estate and investment management services.  The Company serves multinationals, corporations, institutions, occupiers, and investors from offices in markets located around the world. Jones Lang provides services such as tenant representation, property management, agency leasing, finance, and valuations.","2045.png","JLL"
"BIOSEV SA","Sao Paulo","BR","","Food Products","www.biosev.com","BIOSEV SA processes sugarcane to manufacture sugar, ethanol, and to generate electric energy. The Company produces and harvests sugarcane, operates mills throughout Brazil and supplies companies both domestically and internationally.","5877.png","BSEV3"
"TOKYO GAS CO LTD","Minato-Ku","JP","TK","Gas Utilities","www.tokyo-gas.co.jp","TOKYO GAS CO., LTD. produces and supplies liquefied natural gas to Tokyo and the surrounding areas.  The Company maintains and manages gas supply equipment and sells air conditioning appliances.  Tokyo Gas operates power generation business as well.","773.png","9531"
"ADMIRAL GROUP","Cardiff","GB","","Insurance","www.admiralgroup.co.uk","Admiral Group Plc principally sells private motor insurance, together with additional products and services such as breakdown coverage. The Company markets directly to the public in the United Kingdom through its core brands, Admiral, Elephant, Diamond, and Bell. Admiral Group also offer motor insurance and operates comparison websites in Spain, Italy, France and the United States.","1816.png","ADM"
"MILLENNIAL MEDIA","Baltimore","US","MD","Internet Software & Services","www.millennialmedia.com","Millennial Media Inc. provides mobile advertising and data services solutions. The Company specializes in mobile advertising that allows publishers, developers, and mobile operators to maximize revenue, monetize networks, and advertisers to reach mobile customers. Millennial Media serves customers worldwide.","10382.png","MM"
"NEW GOLD INC","Vancouver","CA","BC","Metals & Mining","www.newgoldinc.com","New Gold Inc. is a natural resource company. The Company acquires, explores, and develops gold properties.","2699.png","NGD"
"ULTRA ELECTRONIC","Greenford","GB","","Aerospace & Defense","www.ultra-electronics.com","Ultra Electronics Holdings plc designs, manufactures, and supports electronic and electromechanical systems, sub-systems, and products for defense, security, and aerospace applications worldwide.  The Group focuses on sensing, control, communication, and display systems which an emphasis on integrated information technology solutions.","2864.png","ULE"
"TEN NETWORK","Pyrmont","AU","NS","Media","www.tencorporate.com.au","Ten Network Holdings Limited operates commercial television stations through five capital cities in Australia known as the Ten Network.  The Company broadcasts and produces television shows, movies, news and sporting events. The Company also provides outdoor advertising services.","10326.png","TEN"
"ASHOK LEYLAND","Chennai","IN","","Machinery","www.ashokleyland.com","Ashok Leyland Limited manufactures medium and heavy duty commercial vehicles, including buses, tractors, dumpsters, haulage trucks, fire engines, and defense sector vehicles. The Company also manufactures industrial & marine engines, ferrous castings and spare parts for automobiles. Ashok Leyland sells its products in India and abroad.","6074.png","AL"
"JORDAN PETROLEUM","Amman","JO","#N/A Field Not Applicable","Oil, Gas & Consumable Fuels","www.jopetrol.com.jo","Jordan Petroleum Refinery manufactures and refines petroleum and hydrocarbonic components. The company manufactures secondary derivatives resulting from the refining operations, as well as storing, distributing and marketing all such products. The fuel products include gasoline, jet fuel, diesel, kerosene, light gas oil, fuel oil and LPG.","14050.png","JOPT"
"CAN NATURAL RES","Calgary","CA","ALTA","Oil, Gas & Consumable Fuels","www.cnrl.com","Canadian Natural Resources Ltd. acquires, explores for, develops, and produces natural gas, crude oil, and related products.  The Company operates in the Canadian provinces of Alberta, northeastern British Columbia and Saskatchewan. Canadian Natural also operates in areas which have access for exploration activities and where pipeline systems already exist.","265.png","CNQ"
"TREND MICRO INC","Tokyo","JP","TK","Software","www.trendmicro.co.jp","Trend Micro Incorporated develops and markets anti-virus computer software and internet security software.  The Company also sells its products in the United States, Europe, and Asia.","1831.png","4704"
"INDEP BANK/MA","Rockland","US","MA","Commercial Banks","www.rocklandtrust.com","Independent Bank Corp. is the holding company for Rockland Trust Company. The Bank attracts deposits and offers a range of financial services through a network of offices in Plymouth, Norfolk, Barnstable, and Bristol counties, Massachusetts.","5915.jpg","INDB"
"CENTRENERGO","Kiev","UA","#N/A Field Not Applicable","Electric Utilities","www.centrenergo.com","Centrenergo supplies power to the industrial and residential markets of the Kiev, Harkiv, and Donetsk regions of Ukraine.  The Company owns the thermal power stations Trypillya TPS, Zmiiv TPS, and Vuhlehirsk TPS.","14282.jpg","CEEN"
"KUMHO TIRE CO IN","Gwangju","KR","","Auto Components","www.kumhotire.com","Kumho Tire Co., Inc. designs and produces tires.  The Company's main products include various automobile tires and tubes used in sedan, SUV, RV, truck, and bus.  Kumho Tire also provides racing tires.","4755.png","073240"
"AMER EAGLE OUTF","Pittsburgh","US","PA","Specialty Retail","www.ae.com","American Eagle Outfitters, Inc. retails men's and women's casual apparel, footwear, outerwear, and accessories.  The Company's products include jeans, khakis, T-shirts, and other similar apparel.  American Eagle operates in the United States.","2406.png","AEO"
"DEUTSCHE EUROSHO","Hamburg","DE","","Real Estate Management & Development","www.deutsche-euroshop.de","Deutsche Euroshop AG invests in shopping centers.  The Company owns shopping centers in locations throughout Europe.  The properties are primarily in city centers.","2714.png","DEQ"
"HAYS PLC","London","GB","","Professional Services","www.hays.com","Hays Plc provides specialist recruitment and human resource services for clients and candidates requiring permanent and temporary, professional and technical staff.","2565.png","HAS"
"CIBER INC","Greenwood Village","US","CO","IT Services","www.ciber.com","CIBER, Inc. is a diversified, system integration and information technology (""IT"") services consulting firm. The Company's services are offered on a project or strategic staffing basis, in both custom and enterprise resource planning package environments, and across all technology platforms, operating systems, and infrastructures.","14016.jpg","CBR"
"GSW IMMOBILIEN A","Berlin","DE","","Real Estate Management & Development","www.gsw.de","GSW Immobilien AG owns and operates real estate. The Company owns apartment buildings and manages apartment buildings owned by others.","2886.png","GIB"
"HEIDELBERG DRUCK","Heidelberg","DE","","Machinery","www.heidelberg.com","Heidelberger Druckmaschinen AG designs, manufactures, and markets commercial printing presses, dryer and ink systems, peripherals, and paper and document handling machinery used to bind, fold, and insert materials.  The Company markets its products worldwide and offers printing training courses through its Print Media Academy.","5938.png","HDD"
"IOMART GROUP PLC","Glasgow","GB","#N/A Field Not Applicable","Internet Software & Services","www.iomart.com","iomart Group plc operates an integrated telecommunications and Internet company, which supplies web hosting and Internet security messaging services.  iomart also offers website building and hosting, e-commerce and Internet services, via their WinBiz service.","10441.jpg","IOM"
"KCE ELECTRONICS","Lat Krabang, Bangkok","TH","#N/A Field Not Applicable","Electronic Equipment, Instruments & Components","www.kce.co.th","KCE Electronics Public Company Limited and its subsidiaries manufacture and export single-layered, multi-layered, and double-sided printed circuit boards (PCBs) under its KCE trademark.  Multi-layered PCBs are used mainly in high technology equipment and high precision instruments.  Double-sided PCBs are used largely in telecommunication and computing equipment.","14014.png","KCE"
"ETFS PHYS GOLD","","JE","","","www.etfsecurities.com","ETFS Physical Gold is an Exchange Traded Commodity, incorporated in Jersey and list across Europe and Asia. It is designed to track the Gold price less fees, allowing investors to invest in the precious metals market. It is backed by physically allocated metal bullion which has no credit risk.  The security only holds LBMA (London Bullion Market) Good Delivery bars.","2059.png","PHAU"
"PHILIPP LONG DIS","Makati City","PH","","Wireless Telecommunication Services","www.pldt.com.ph","Philippine Long Distance Telephone Company provides domestic and international long distance and cellular telephone services.  The Company's business group include fixed line, wireless, and information and communications technology.","750.png","TEL"
"DOLPHIN CAPITAL","British Virgin Islands","VG","#N/A Field Not Applicable","Real Estate Management & Development","www.dolphinci.com","Dolphin Capital Investors Ltd. is a real estate investment company focused on early-stage, large-scale, leisure-integrated residential resorts primarily in southeast Europe.","10424.jpg","DCI"
"COMMUNITY HEALTH","Franklin","US","TN","Health Care Providers & Services","www.chs.net","Community Health Systems Inc. owns, leases, and operates hospitals in multiple states. The Hospitals services include emergency room services, general surgery, critical care, internal medicine, obstetrics and diagnostic services. Community Health also owns interests in physicians, physician practices, imaging centers, home health agencies and ambulatory surgery centers.","2167.jpg","CYH"
"ZAGREBACKA BANKA","Zagreb","HR","","Commercial Banks","www.zaba.hr","Zagrebacka Banka d.d. is a commercial bank which offers foreign currency, money market trading, equity and bond trading, international clearing and payment services through nearly 140 branches in Croatia and abroad.  Subsidiaries are active in insurance and investments.  The Bank is involved in Croatia's privati- zation program.","5288.gif","ZABARA"
"SAPUTO INC","St-Leonard","CA","PQ","Food Products","www.saputo.com","Saputo Inc. manufactures dairy and grocery products.  The Company manufactures Italian cheeses, European cheeses, and North American cheeses.  Saputo also operates a distribution network through which it markets a variety of imported cheeses and non-dairy products to complement its cheese offerings.  The Company also produces and distributes snack cakes, cookies, breads, and soups.","1038.png","SAP"
"BAE SYSTEMS PLC","London","GB","","Aerospace & Defense","www.baesystems.com","BAE Systems plc develops, delivers, and supports advanced defense and aerospace systems.  The Group manufactures military aircraft, surface ships, submarines, radar, avionics, communications, electronics, and guided weapon systems.  BAE Systems services clients located throughout the world.","445.png","BA/"
"PEAK SPORT","Quanzhou, Fujian","CN","#N/A Field Not Applicable","Textiles, Apparel & Luxury Goods","www.peaksport.com","Peak Sport Products Ltd. manufactures athletic shoes.","9912.png","1968"
"LYXOR-ETF MSC AS","","FR","#N/A Field Not Applicable","","www.lyxoretf.com","Lyxor ETF MSCI AC Asia-Pacific ex-Japan is a UCITS III compliant exchange- traded fund incorporated in France. The Fund's objective is to track the performance of the MSCI AC Asia-Pacific ex-Japan Index.","9368.png","AEJ"
"PRICELINE.COM","Norwalk","US","CT","Internet & Catalog Retail","www.priceline.com","Priceline.com Incorporated enables consumers to use the Internet to save money on a variety of products and services.  The Company's product allows customers to name their own price on products or services and communicates that demand directly to participating sellers or to their private databases.  Participants include domestic and international airlines, and hotel chains.","134.png","PCLN"
"FUJI OIL","Osaka","JP","OS","Food Products","www.fujioil.co.jp","FUJI OIL CO., LTD. produces palm oil and coconut oil.  The Company also produces a variety of oil-related products, such as cooking oil, oil and fat products, and soybean protein products.","5381.png","2607"
"CLAL INSURANCE","Tel Aviv","IL","","Insurance","www.clal-ins.co.il","Clal Insurance Enterprise Holdings Ltd. is a holding company that operates insurance companies.","5699.gif","CLIS"
"TELEPERFORMANCE","Paris","FR","","Professional Services","www.teleperformance.com","Teleperformance offers customer relationship management services.  The Company operates call centers, conducts programs to attract new customers, offers customer service and technical support services, collects debts, offers market research services, conducts telemarketing, and develops customer relationship management software.","2379.png","RCF"
"GLAXOSMITHKLINE","Mumbai","IN","","Pharmaceuticals","www.gsk-india.com","Glaxosmithkline Pharmaceuticals Ltd. manufactures and distributes a wide variety of pharmaceutical drugs, veterinary products and laboratory chemicals. The Company's products include ""Phexin"" capsules, ""Betnesol"" tablets and injections, ""Becoride"" asthma treatment, ""Betnovate"" ointment, ""Cetzine"" antihistamine, ""Zucox"" and ""Rizap"" anti-tuberculosis products.","2276.png","GLXO"
"CHINA PIONEER PH","Pudong","CN","#N/A Field Not Applicable","","www.pioneer-pharma.com","China Pioneer Pharma Holdings Ltd is a marketing, promotion and channel management service provider dedicated to imported pharmaceutical products and medical devices in China.","10325.png","1345"
"BT INVESTMENT","Sydney","AU","NSW","Capital Markets","www.btim.com.au","BT Investment Management Ltd. manages funds on behalf of retail and institutional clients and other intermediaries.  The Company invests funds in a range of asset classes including equities, fixed income, cash, and alternatives.","5498.png","BTT"
"WESTERN AS H/I 2","","US","NY","","www.westernasset.com","Western Asset High Income Fund II, Inc. is a diversified, closed-end management investment company incorporated in the USA.  The Fund's objective is to seek a high level of current income.  The Fund invests primarily in a diversified portfolio of high-yield U.S. corporate debt securities and high-yield foreign sovereign debt securities.","6000.gif","HIX"
"HYUNDAI MOBIS","Seoul, Korea","KR","","Auto Components","www.mobis.co.kr","Hyundai Mobis manufactures and markets automotive parts and equipment, such as automotive service components, modules, and systems.  The Company also contracts environmental projects, including sewage treatment plant and industrial waste water treatment plant construction.","367.jpg","012330"
"INDUSTRIAL BAN-A","Fuzhou","CN","","Commercial Banks","www.cib.com.cn","Industrial Bank Company, Ltd. provides personal, corporate, institutional and electronic banking services. The Bank's businesses include residential mortgage, loan, savings and time deposit, RMB money management, foreign currency management advisory service and trading, debit and credit cards.","280.png","601166"
"NIPPON SEIKI","Niigata","JP","NG","Auto Components","www.nippon-seiki.co.jp","NIPPON SEIKI CO., LTD. manufactures instrument panels for automobiles, motorcycles, boats, farm tractors, and construction machines.  The Company has its production facilities in the US, the UK, Thailand, and Taiwan.","5661.gif","7287"
"AEROVIRONMENT IN","Monrovia","US","CA","Aerospace & Defense","www.avinc.com","Aerovironment Inc. designs, develops, produces and supports small unmanned aircraft systems, and fast charge systems for electric industrial vehicle batteries.","10403.jpg","AVAV"
"DELCAM PLC","Birmingham","GB","#N/A Field Not Applicable","Software","www.delcam.com","Delcam PLC supplies advanced CADCAM solutions for the manufacturing industry. The Company's design, manufacturing and inspection software enables the production of complex-shaped products. Based in the UK, Delcam has subsidiaries in North America, Europe and Asia. Its software is used across the automotive, aerospace, footwear, dental & healthcare sectors worldwide.","14520.png","DLC"
"PHOSAGRO OAO-CLS","Moscow","RU","","Chemicals","www.phosagro.com","Phosagro OAO is a global vertically integrated phosphate-based fertiliser producer. The Company focuses on the production of Phosphate-Based Fertilisers, feed phosphate and high-grade phosphate rock, as well as ammonia and Nitrogen-Based Fertilisers.","2235.jpg","PHOR"
"OSEM INVEST LTD","Shoham","IL","","Food Products","www.osem.co.il","Osem Investments Limited processes food.  The Company produces pasta, dehydrated soup mixes, biscuits, crackers, jams, candies, juices, instant desserts, pickles, and other products.","2564.png","OSEM"
"VERIFONE SYSTEMS","San Jose","US","CA","IT Services","www.verifone.com","VeriFone Systems, Inc. is a global provider of technology that enables electronic payment transactions and value-added services at the point of sale. The Company's customers include financial institutions, payment processors, petroleum companies, large retailers, government organizations and healthcare companies, as well as independent sales organizations.","2519.jpg","PAY"
"BEIJING CAP AI-H","Beijing","CN","","Transportation Infrastructure","www.bcia.com.cn","Beijing Capital International Airport Company Limited operates both aeronautical and non-aeronautical business in the Beijing airport.  The Company provides aircraft movement and passenger service facilities, safety and security services, fire-fighting services, and ground handling services.  In addition, Beijing Capital operates duty free and other retail shops and leases properties.","2255.png","694"
"NCSOFT CORP","Seoul, Korea","KR","","Software","www.ncsoft.com","NCsoft Corporation develops and markets on-line games that enable users to play over the Internet and computer software, such as web editing software.  The Company also designs and constructs databases, Intranet, and commercial Internet access systems.","1926.png","036570"
"DAIHATSU MOTOR","Ikeda","JP","OS","Automobiles","www.daihatsu.com","DAIHATSU MOTOR CO., LTD., a member of the Toyota Motor Group, manufactures compact cars, commercial vehicles, and its related parts.  The Company sells its products in Japan, Southeast Asia, and Europe.  Daihatsu Motor also produces and sells automobiles under the Toyota brand name.","1537.png","7262"
"EZCORP INC-A","Austin","US","TX","Consumer Finance","www.ezcorp.com","EZCORP, Inc. owns and operates pawn shops that serve as sources for consumer credit and retail previously-owned merchandise.  The Company operates in the United States.","10263.gif","EZPW"
"TMB BANK PCL","Bangkok","TH","","Commercial Banks","www.tmbbank.com","TMB Bank Public Company Limited provides a full range of banking and financial services. The Bank offers corporate and personal lending, retail and wholesale banking, international trade financing, and investment banking services to its customers throughout Thailand.  It also has branches in Hong Kong, Laos, and Cayman Island.","2322.jpg","TMB"
"TESCO CORP","Houston","US","TX","Energy Equipment & Services","www.tescocorp.com","The Tesco Corporation manufacture and service technology-based solutions for upstream energy industry. The Company markets and operates top drive and underbalanced drilling, completion products, control, electrical, and hydraulic systems. Tesco serves the oil and natural gas industry throughout the world.","6088.gif","TESO"
"IDACORP INC","Boise","US","ID","Electric Utilities","www.idacorpinc.com","IDACORP, Inc is the holding company for Idaho Power Company, an electric utility and IDACORP Energy, an energy marketing company.  Idaho Power generates, purchases, transmits, distributes, and sells electric energy in southern Idaho, eastern Oregon, and northern Nevada.  IDACORP Energy maintains electricity and natural gas marketing operations.","2597.png","IDA"
"JACOBS ENGIN GRP","Pasadena","US","CA","Construction & Engineering","www.jacobs.com","Jacobs Engineering Group, Inc. provides a broad range of technical, professional, and construction services to a large number of industrial, commercial, and governmental clients around the world. The Company's services include project services, process, scientific, and systems consulting, construction services, and operations and maintenance services.","1523.jpg","JEC"
"FOMENTO ECON-UBD","Monterrey","MX","","Beverages","www.femsa.com","Fomento Economico Mexicano, S.A.B. de C.V. (FEMSA) is a Company that through its subsidiaries produces, distributes and markets non-alcoholic beverages throughout Latin America as part of the Coca-Cola system. The Company owns and operates convenience stores in Mexico and Colombia and holds a stake in Heineken.","303.png","FEMSAUBD"
